tree,Source,n,p
prediction.147,Beef,120,0.18433179723502305
prediction.147,Poultry,365,0.5606758832565284
prediction.147,Sheep,166,0.25499231950844853
prediction.148,Beef,127,0.19508448540706605
prediction.148,Poultry,421,0.6466973886328725
prediction.148,Sheep,103,0.15821812596006143
prediction.149,Beef,144,0.22119815668202766
prediction.149,Poultry,361,0.554531490015361
prediction.149,Sheep,146,0.22427035330261136
prediction.15,Beef,161,0.24731182795698925
prediction.15,Poultry,327,0.5023041474654378
prediction.15,Sheep,163,0.25038402457757297
prediction.150,Beef,146,0.22427035330261136
prediction.150,Poultry,404,0.620583717357911
prediction.150,Sheep,101,0.15514592933947774
prediction.151,Beef,155,0.23809523809523808
prediction.151,Poultry,381,0.5852534562211982
prediction.151,Sheep,115,0.17665130568356374
prediction.152,Beef,162,0.2488479262672811
prediction.152,Poultry,385,0.5913978494623656
prediction.152,Sheep,104,0.1597542242703533
prediction.153,Beef,143,0.2196620583717358
prediction.153,Poultry,412,0.6328725038402457
prediction.153,Sheep,96,0.14746543778801843
prediction.154,Beef,105,0.16129032258064516
prediction.154,Poultry,442,0.6789554531490015
prediction.154,Sheep,104,0.1597542242703533
prediction.155,Beef,133,0.20430107526881722
prediction.155,Poultry,397,0.6098310291858678
prediction.155,Sheep,121,0.1858678955453149
prediction.156,Beef,96,0.14746543778801843
prediction.156,Poultry,375,0.576036866359447
prediction.156,Sheep,180,0.2764976958525346
prediction.157,Beef,136,0.20890937019969277
prediction.157,Poultry,386,0.5929339477726574
prediction.157,Sheep,129,0.19815668202764977
prediction.158,Beef,177,0.271889400921659
prediction.158,Poultry,386,0.5929339477726574
prediction.158,Sheep,88,0.13517665130568357
prediction.159,Beef,131,0.2012288786482335
prediction.159,Poultry,424,0.6513056835637481
prediction.159,Sheep,96,0.14746543778801843
prediction.16,Beef,120,0.18433179723502305
prediction.16,Poultry,406,0.6236559139784946
prediction.16,Sheep,125,0.19201228878648233
prediction.160,Beef,113,0.17357910906298002
prediction.160,Poultry,447,0.6866359447004609
prediction.160,Sheep,91,0.13978494623655913
prediction.161,Beef,144,0.22119815668202766
prediction.161,Poultry,387,0.5944700460829493
prediction.161,Sheep,120,0.18433179723502305
prediction.162,Beef,115,0.17665130568356374
prediction.162,Poultry,376,0.5775729646697388
prediction.162,Sheep,160,0.2457757296466974
prediction.163,Beef,136,0.20890937019969277
prediction.163,Poultry,352,0.5407066052227343
prediction.163,Sheep,163,0.25038402457757297
prediction.164,Beef,165,0.2534562211981567
prediction.164,Poultry,366,0.5622119815668203
prediction.164,Sheep,120,0.18433179723502305
prediction.165,Beef,136,0.20890937019969277
prediction.165,Poultry,361,0.554531490015361
prediction.165,Sheep,154,0.23655913978494625
prediction.166,Beef,144,0.22119815668202766
prediction.166,Poultry,399,0.6129032258064516
prediction.166,Sheep,108,0.16589861751152074
prediction.167,Beef,128,0.1966205837173579
prediction.167,Poultry,387,0.5944700460829493
prediction.167,Sheep,136,0.20890937019969277
prediction.168,Beef,179,0.2749615975422427
prediction.168,Poultry,382,0.5867895545314901
prediction.168,Sheep,90,0.1382488479262673
prediction.169,Beef,123,0.1889400921658986
prediction.169,Poultry,384,0.5898617511520737
prediction.169,Sheep,144,0.22119815668202766
prediction.17,Beef,148,0.22734254992319508
prediction.17,Poultry,398,0.6113671274961597
prediction.17,Sheep,105,0.16129032258064516
prediction.170,Beef,129,0.19815668202764977
prediction.170,Poultry,377,0.5791090629800307
prediction.170,Sheep,145,0.2227342549923195
prediction.171,Beef,170,0.261136712749616
prediction.171,Poultry,366,0.5622119815668203
prediction.171,Sheep,115,0.17665130568356374
prediction.172,Beef,154,0.23655913978494625
prediction.172,Poultry,387,0.5944700460829493
prediction.172,Sheep,110,0.16897081413210446
prediction.173,Beef,119,0.1827956989247312
prediction.173,Poultry,417,0.6405529953917051
prediction.173,Sheep,115,0.17665130568356374
prediction.174,Beef,126,0.1935483870967742
prediction.174,Poultry,428,0.6574500768049155
prediction.174,Sheep,97,0.1490015360983103
prediction.175,Beef,148,0.22734254992319508
prediction.175,Poultry,410,0.6298003072196621
prediction.175,Sheep,93,0.14285714285714285
prediction.176,Beef,139,0.21351766513056836
prediction.176,Poultry,374,0.5745007680491552
prediction.176,Sheep,138,0.2119815668202765
prediction.177,Beef,170,0.261136712749616
prediction.177,Poultry,363,0.5576036866359447
prediction.177,Sheep,118,0.18125960061443933
prediction.178,Beef,162,0.2488479262672811
prediction.178,Poultry,383,0.5883256528417818
prediction.178,Sheep,106,0.16282642089093702
prediction.179,Beef,144,0.22119815668202766
prediction.179,Poultry,409,0.6282642089093702
prediction.179,Sheep,98,0.15053763440860216
prediction.18,Beef,134,0.20583717357910905
prediction.18,Poultry,387,0.5944700460829493
prediction.18,Sheep,130,0.19969278033794163
prediction.180,Beef,144,0.22119815668202766
prediction.180,Poultry,354,0.543778801843318
prediction.180,Sheep,153,0.2350230414746544
prediction.181,Beef,101,0.15514592933947774
prediction.181,Poultry,438,0.6728110599078341
prediction.181,Sheep,112,0.17204301075268819
prediction.182,Beef,153,0.2350230414746544
prediction.182,Poultry,382,0.5867895545314901
prediction.182,Sheep,116,0.1781874039938556
prediction.183,Beef,150,0.2304147465437788
prediction.183,Poultry,368,0.565284178187404
prediction.183,Sheep,133,0.20430107526881722
prediction.184,Beef,172,0.2642089093701997
prediction.184,Poultry,378,0.5806451612903226
prediction.184,Sheep,101,0.15514592933947774
prediction.185,Beef,134,0.20583717357910905
prediction.185,Poultry,420,0.6451612903225806
prediction.185,Sheep,97,0.1490015360983103
prediction.186,Beef,111,0.17050691244239632
prediction.186,Poultry,428,0.6574500768049155
prediction.186,Sheep,112,0.17204301075268819
prediction.187,Beef,137,0.21044546850998463
prediction.187,Poultry,386,0.5929339477726574
prediction.187,Sheep,128,0.1966205837173579
prediction.188,Beef,133,0.20430107526881722
prediction.188,Poultry,403,0.6190476190476191
prediction.188,Sheep,115,0.17665130568356374
prediction.189,Beef,125,0.19201228878648233
prediction.189,Poultry,399,0.6129032258064516
prediction.189,Sheep,127,0.19508448540706605
prediction.19,Beef,138,0.2119815668202765
prediction.19,Poultry,397,0.6098310291858678
prediction.19,Sheep,116,0.1781874039938556
prediction.190,Beef,148,0.22734254992319508
prediction.190,Poultry,389,0.5975422427035331
prediction.190,Sheep,114,0.17511520737327188
prediction.191,Beef,139,0.21351766513056836
prediction.191,Poultry,363,0.5576036866359447
prediction.191,Sheep,149,0.22887864823348694
prediction.192,Beef,144,0.22119815668202766
prediction.192,Poultry,390,0.5990783410138248
prediction.192,Sheep,117,0.17972350230414746
prediction.193,Beef,153,0.2350230414746544
prediction.193,Poultry,378,0.5806451612903226
prediction.193,Sheep,120,0.18433179723502305
prediction.194,Beef,109,0.1674347158218126
prediction.194,Poultry,305,0.4685099846390169
prediction.194,Sheep,237,0.3640552995391705
prediction.195,Beef,142,0.21812596006144394
prediction.195,Poultry,411,0.631336405529954
prediction.195,Sheep,98,0.15053763440860216
prediction.196,Beef,172,0.2642089093701997
prediction.196,Poultry,371,0.5698924731182796
prediction.196,Sheep,108,0.16589861751152074
prediction.197,Beef,121,0.1858678955453149
prediction.197,Poultry,408,0.6267281105990783
prediction.197,Sheep,122,0.18740399385560677
prediction.198,Beef,155,0.23809523809523808
prediction.198,Poultry,350,0.5376344086021505
prediction.198,Sheep,146,0.22427035330261136
prediction.199,Beef,142,0.21812596006144394
prediction.199,Poultry,363,0.5576036866359447
prediction.199,Sheep,146,0.22427035330261136
prediction.2,Beef,169,0.25960061443932414
prediction.2,Poultry,378,0.5806451612903226
prediction.2,Sheep,104,0.1597542242703533
prediction.20,Beef,132,0.20276497695852536
prediction.20,Poultry,414,0.6359447004608295
prediction.20,Sheep,105,0.16129032258064516
prediction.200,Beef,165,0.2534562211981567
prediction.200,Poultry,368,0.565284178187404
prediction.200,Sheep,118,0.18125960061443933
prediction.201,Beef,125,0.19201228878648233
prediction.201,Poultry,408,0.6267281105990783
prediction.201,Sheep,118,0.18125960061443933
prediction.202,Beef,125,0.19201228878648233
prediction.202,Poultry,437,0.6712749615975423
prediction.202,Sheep,89,0.13671274961597543
prediction.203,Beef,134,0.20583717357910905
prediction.203,Poultry,408,0.6267281105990783
prediction.203,Sheep,109,0.1674347158218126
prediction.204,Beef,145,0.2227342549923195
prediction.204,Poultry,395,0.6067588325652842
prediction.204,Sheep,111,0.17050691244239632
prediction.205,Beef,168,0.25806451612903225
prediction.205,Poultry,370,0.5683563748079877
prediction.205,Sheep,113,0.17357910906298002
prediction.206,Beef,178,0.27342549923195086
prediction.206,Poultry,386,0.5929339477726574
prediction.206,Sheep,87,0.1336405529953917
prediction.207,Beef,191,0.29339477726574503
prediction.207,Poultry,349,0.5360983102918587
prediction.207,Sheep,111,0.17050691244239632
prediction.208,Beef,167,0.2565284178187404
prediction.208,Poultry,387,0.5944700460829493
prediction.208,Sheep,97,0.1490015360983103
prediction.209,Beef,155,0.23809523809523808
prediction.209,Poultry,393,0.6036866359447005
prediction.209,Sheep,103,0.15821812596006143
prediction.21,Beef,127,0.19508448540706605
prediction.21,Poultry,418,0.642089093701997
prediction.21,Sheep,106,0.16282642089093702
prediction.210,Beef,167,0.2565284178187404
prediction.210,Poultry,380,0.5837173579109063
prediction.210,Sheep,104,0.1597542242703533
prediction.211,Beef,188,0.2887864823348694
prediction.211,Poultry,340,0.522273425499232
prediction.211,Sheep,123,0.1889400921658986
prediction.212,Beef,152,0.23348694316436253
prediction.212,Poultry,365,0.5606758832565284
prediction.212,Sheep,134,0.20583717357910905
prediction.213,Beef,208,0.3195084485407066
prediction.213,Poultry,340,0.522273425499232
prediction.213,Sheep,103,0.15821812596006143
prediction.214,Beef,167,0.2565284178187404
prediction.214,Poultry,382,0.5867895545314901
prediction.214,Sheep,102,0.15668202764976957
prediction.215,Beef,177,0.271889400921659
prediction.215,Poultry,378,0.5806451612903226
prediction.215,Sheep,96,0.14746543778801843
prediction.216,Beef,190,0.29185867895545314
prediction.216,Poultry,362,0.5560675883256528
prediction.216,Sheep,99,0.15207373271889402
prediction.217,Beef,147,0.22580645161290322
prediction.217,Poultry,411,0.631336405529954
prediction.217,Sheep,93,0.14285714285714285
prediction.218,Beef,159,0.24423963133640553
prediction.218,Poultry,373,0.5729646697388633
prediction.218,Sheep,119,0.1827956989247312
prediction.219,Beef,156,0.23963133640552994
prediction.219,Poultry,398,0.6113671274961597
prediction.219,Sheep,97,0.1490015360983103
prediction.22,Beef,136,0.20890937019969277
prediction.22,Poultry,398,0.6113671274961597
prediction.22,Sheep,117,0.17972350230414746
prediction.220,Beef,161,0.24731182795698925
prediction.220,Poultry,376,0.5775729646697388
prediction.220,Sheep,114,0.17511520737327188
prediction.221,Beef,117,0.17972350230414746
prediction.221,Poultry,407,0.6251920122887865
prediction.221,Sheep,127,0.19508448540706605
prediction.222,Beef,128,0.1966205837173579
prediction.222,Poultry,435,0.6682027649769585
prediction.222,Sheep,88,0.13517665130568357
prediction.223,Beef,129,0.19815668202764977
prediction.223,Poultry,407,0.6251920122887865
prediction.223,Sheep,115,0.17665130568356374
prediction.224,Beef,172,0.2642089093701997
prediction.224,Poultry,384,0.5898617511520737
prediction.224,Sheep,95,0.14592933947772657
prediction.225,Beef,126,0.1935483870967742
prediction.225,Poultry,390,0.5990783410138248
prediction.225,Sheep,135,0.2073732718894009
prediction.226,Beef,157,0.2411674347158218
prediction.226,Poultry,413,0.6344086021505376
prediction.226,Sheep,81,0.12442396313364056
prediction.227,Beef,176,0.27035330261136714
prediction.227,Poultry,373,0.5729646697388633
prediction.227,Sheep,102,0.15668202764976957
prediction.228,Beef,148,0.22734254992319508
prediction.228,Poultry,399,0.6129032258064516
prediction.228,Sheep,104,0.1597542242703533
prediction.229,Beef,163,0.25038402457757297
prediction.229,Poultry,395,0.6067588325652842
prediction.229,Sheep,93,0.14285714285714285
prediction.23,Beef,150,0.2304147465437788
prediction.23,Poultry,386,0.5929339477726574
prediction.23,Sheep,115,0.17665130568356374
prediction.230,Beef,177,0.271889400921659
prediction.230,Poultry,369,0.5668202764976958
prediction.230,Sheep,105,0.16129032258064516
prediction.231,Beef,117,0.17972350230414746
prediction.231,Poultry,394,0.6052227342549923
prediction.231,Sheep,140,0.21505376344086022
prediction.232,Beef,158,0.24270353302611367
prediction.232,Poultry,407,0.6251920122887865
prediction.232,Sheep,86,0.13210445468509985
prediction.233,Beef,150,0.2304147465437788
prediction.233,Poultry,369,0.5668202764976958
prediction.233,Sheep,132,0.20276497695852536
prediction.234,Beef,115,0.17665130568356374
prediction.234,Poultry,408,0.6267281105990783
prediction.234,Sheep,128,0.1966205837173579
prediction.235,Beef,171,0.2626728110599078
prediction.235,Poultry,393,0.6036866359447005
prediction.235,Sheep,87,0.1336405529953917
prediction.236,Beef,165,0.2534562211981567
prediction.236,Poultry,391,0.6006144393241167
prediction.236,Sheep,95,0.14592933947772657
prediction.237,Beef,171,0.2626728110599078
prediction.237,Poultry,364,0.5591397849462365
prediction.237,Sheep,116,0.1781874039938556
prediction.238,Beef,152,0.23348694316436253
prediction.238,Poultry,375,0.576036866359447
prediction.238,Sheep,124,0.19047619047619047
prediction.239,Beef,165,0.2534562211981567
prediction.239,Poultry,346,0.5314900153609831
prediction.239,Sheep,140,0.21505376344086022
prediction.24,Beef,163,0.25038402457757297
prediction.24,Poultry,400,0.6144393241167435
prediction.24,Sheep,88,0.13517665130568357
prediction.240,Beef,173,0.26574500768049153
prediction.240,Poultry,382,0.5867895545314901
prediction.240,Sheep,96,0.14746543778801843
prediction.241,Beef,178,0.27342549923195086
prediction.241,Poultry,375,0.576036866359447
prediction.241,Sheep,98,0.15053763440860216
prediction.242,Beef,167,0.2565284178187404
prediction.242,Poultry,368,0.565284178187404
prediction.242,Sheep,116,0.1781874039938556
prediction.243,Beef,131,0.2012288786482335
prediction.243,Poultry,395,0.6067588325652842
prediction.243,Sheep,125,0.19201228878648233
prediction.244,Beef,143,0.2196620583717358
prediction.244,Poultry,406,0.6236559139784946
prediction.244,Sheep,102,0.15668202764976957
prediction.245,Beef,178,0.27342549923195086
prediction.245,Poultry,367,0.5637480798771122
prediction.245,Sheep,106,0.16282642089093702
prediction.246,Beef,150,0.2304147465437788
prediction.246,Poultry,384,0.5898617511520737
prediction.246,Sheep,117,0.17972350230414746
prediction.247,Beef,121,0.1858678955453149
prediction.247,Poultry,409,0.6282642089093702
prediction.247,Sheep,121,0.1858678955453149
prediction.248,Beef,154,0.23655913978494625
prediction.248,Poultry,383,0.5883256528417818
prediction.248,Sheep,114,0.17511520737327188
prediction.249,Beef,152,0.23348694316436253
prediction.249,Poultry,397,0.6098310291858678
prediction.249,Sheep,102,0.15668202764976957
prediction.25,Beef,146,0.22427035330261136
prediction.25,Poultry,379,0.5821812596006144
prediction.25,Sheep,126,0.1935483870967742
prediction.250,Beef,191,0.29339477726574503
prediction.250,Poultry,375,0.576036866359447
prediction.250,Sheep,85,0.130568356374808
prediction.251,Beef,144,0.22119815668202766
prediction.251,Poultry,349,0.5360983102918587
prediction.251,Sheep,158,0.24270353302611367
prediction.252,Beef,167,0.2565284178187404
prediction.252,Poultry,388,0.5960061443932412
prediction.252,Sheep,96,0.14746543778801843
prediction.253,Beef,164,0.2519201228878648
prediction.253,Poultry,374,0.5745007680491552
prediction.253,Sheep,113,0.17357910906298002
prediction.254,Beef,131,0.2012288786482335
prediction.254,Poultry,402,0.6175115207373272
prediction.254,Sheep,118,0.18125960061443933
prediction.255,Beef,173,0.26574500768049153
prediction.255,Poultry,364,0.5591397849462365
prediction.255,Sheep,114,0.17511520737327188
prediction.256,Beef,155,0.23809523809523808
prediction.256,Poultry,382,0.5867895545314901
prediction.256,Sheep,114,0.17511520737327188
prediction.257,Beef,107,0.16436251920122888
prediction.257,Poultry,435,0.6682027649769585
prediction.257,Sheep,109,0.1674347158218126
prediction.258,Beef,137,0.21044546850998463
prediction.258,Poultry,421,0.6466973886328725
prediction.258,Sheep,93,0.14285714285714285
prediction.259,Beef,164,0.2519201228878648
prediction.259,Poultry,373,0.5729646697388633
prediction.259,Sheep,114,0.17511520737327188
prediction.26,Beef,190,0.29185867895545314
prediction.26,Poultry,336,0.5161290322580645
prediction.26,Sheep,125,0.19201228878648233
prediction.260,Beef,166,0.25499231950844853
prediction.260,Poultry,328,0.5038402457757296
prediction.260,Sheep,157,0.2411674347158218
prediction.261,Beef,139,0.21351766513056836
prediction.261,Poultry,386,0.5929339477726574
prediction.261,Sheep,126,0.1935483870967742
prediction.262,Beef,182,0.27956989247311825
prediction.262,Poultry,307,0.4715821812596006
prediction.262,Sheep,162,0.2488479262672811
prediction.263,Beef,214,0.32872503840245776
prediction.263,Poultry,343,0.5268817204301075
prediction.263,Sheep,94,0.1443932411674347
prediction.264,Beef,131,0.2012288786482335
prediction.264,Poultry,403,0.6190476190476191
prediction.264,Sheep,117,0.17972350230414746
prediction.265,Beef,189,0.2903225806451613
prediction.265,Poultry,372,0.5714285714285714
prediction.265,Sheep,90,0.1382488479262673
prediction.266,Beef,120,0.18433179723502305
prediction.266,Poultry,421,0.6466973886328725
prediction.266,Sheep,110,0.16897081413210446
prediction.267,Beef,109,0.1674347158218126
prediction.267,Poultry,444,0.6820276497695853
prediction.267,Sheep,98,0.15053763440860216
prediction.268,Beef,137,0.21044546850998463
prediction.268,Poultry,388,0.5960061443932412
prediction.268,Sheep,126,0.1935483870967742
prediction.269,Beef,177,0.271889400921659
prediction.269,Poultry,378,0.5806451612903226
prediction.269,Sheep,96,0.14746543778801843
prediction.27,Beef,112,0.17204301075268819
prediction.27,Poultry,397,0.6098310291858678
prediction.27,Sheep,142,0.21812596006144394
prediction.270,Beef,157,0.2411674347158218
prediction.270,Poultry,366,0.5622119815668203
prediction.270,Sheep,128,0.1966205837173579
prediction.271,Beef,129,0.19815668202764977
prediction.271,Poultry,379,0.5821812596006144
prediction.271,Sheep,143,0.2196620583717358
prediction.272,Beef,116,0.1781874039938556
prediction.272,Poultry,374,0.5745007680491552
prediction.272,Sheep,161,0.24731182795698925
prediction.273,Beef,129,0.19815668202764977
prediction.273,Poultry,389,0.5975422427035331
prediction.273,Sheep,133,0.20430107526881722
prediction.274,Beef,130,0.19969278033794163
prediction.274,Poultry,420,0.6451612903225806
prediction.274,Sheep,101,0.15514592933947774
prediction.275,Beef,129,0.19815668202764977
prediction.275,Poultry,396,0.6082949308755761
prediction.275,Sheep,126,0.1935483870967742
prediction.276,Beef,237,0.3640552995391705
prediction.276,Poultry,322,0.4946236559139785
prediction.276,Sheep,92,0.141321044546851
prediction.277,Beef,137,0.21044546850998463
prediction.277,Poultry,400,0.6144393241167435
prediction.277,Sheep,114,0.17511520737327188
prediction.278,Beef,116,0.1781874039938556
prediction.278,Poultry,418,0.642089093701997
prediction.278,Sheep,117,0.17972350230414746
prediction.279,Beef,148,0.22734254992319508
prediction.279,Poultry,360,0.5529953917050692
prediction.279,Sheep,143,0.2196620583717358
prediction.28,Beef,155,0.23809523809523808
prediction.28,Poultry,400,0.6144393241167435
prediction.28,Sheep,96,0.14746543778801843
prediction.280,Beef,169,0.25960061443932414
prediction.280,Poultry,363,0.5576036866359447
prediction.280,Sheep,119,0.1827956989247312
prediction.281,Beef,146,0.22427035330261136
prediction.281,Poultry,369,0.5668202764976958
prediction.281,Sheep,136,0.20890937019969277
prediction.282,Beef,207,0.31797235023041476
prediction.282,Poultry,349,0.5360983102918587
prediction.282,Sheep,95,0.14592933947772657
prediction.283,Beef,169,0.25960061443932414
prediction.283,Poultry,385,0.5913978494623656
prediction.283,Sheep,97,0.1490015360983103
prediction.284,Beef,134,0.20583717357910905
prediction.284,Poultry,398,0.6113671274961597
prediction.284,Sheep,119,0.1827956989247312
prediction.285,Beef,108,0.16589861751152074
prediction.285,Poultry,416,0.6390168970814132
prediction.285,Sheep,127,0.19508448540706605
prediction.286,Beef,150,0.2304147465437788
prediction.286,Poultry,387,0.5944700460829493
prediction.286,Sheep,114,0.17511520737327188
prediction.287,Beef,100,0.15360983102918588
prediction.287,Poultry,399,0.6129032258064516
prediction.287,Sheep,152,0.23348694316436253
prediction.288,Beef,156,0.23963133640552994
prediction.288,Poultry,376,0.5775729646697388
prediction.288,Sheep,119,0.1827956989247312
prediction.289,Beef,127,0.19508448540706605
prediction.289,Poultry,424,0.6513056835637481
prediction.289,Sheep,100,0.15360983102918588
prediction.29,Beef,128,0.1966205837173579
prediction.29,Poultry,419,0.6436251920122887
prediction.29,Sheep,104,0.1597542242703533
prediction.290,Beef,193,0.2964669738863287
prediction.290,Poultry,361,0.554531490015361
prediction.290,Sheep,97,0.1490015360983103
prediction.291,Beef,196,0.3010752688172043
prediction.291,Poultry,320,0.4915514592933948
prediction.291,Sheep,135,0.2073732718894009
prediction.292,Beef,107,0.16436251920122888
prediction.292,Poultry,409,0.6282642089093702
prediction.292,Sheep,135,0.2073732718894009
prediction.293,Beef,119,0.1827956989247312
